搜尋關鍵字,播放清單名稱,播放清單ID,播放清單連結
輕鬆 搖滾,輕鬆搖滾,0R21OUoONpgWhmJdJYHL7n,https://open.spotify.com/playlist/0R21OUoONpgWhmJdJYHL7n
輕鬆 搖滾,輕鬆+台式搖滾,1ifltHUk9JkBApncrICr7G,https://open.spotify.com/playlist/1ifltHUk9JkBApncrICr7G
輕鬆 嘻哈,chinese rnb ☁️,7gPJDy3cH5ApojyPzSQ34L,https://open.spotify.com/playlist/7gPJDy3cH5ApojyPzSQ34L
輕鬆 嘻哈,輕鬆又嘻哈的高級氛圍🖤,6zcxJJ1lSg8y6iueIPLddo,https://open.spotify.com/playlist/6zcxJJ1lSg8y6iueIPLddo
輕鬆 嘻哈,Chinese Soft Rap 華語輕饒舌,4jgdtBtJ5XBwvh7Sq984HM,https://open.spotify.com/playlist/4jgdtBtJ5XBwvh7Sq984HM
輕鬆 嘻哈,輕鬆的狀態,0Lh3AC4rIRKof12LGNa8k1,https://open.spotify.com/playlist/0Lh3AC4rIRKof12LGNa8k1
輕鬆 電子,專注工作(輕電子),5YuNJ70W5efb9CxiWS7zo9,https://open.spotify.com/playlist/5YuNJ70W5efb9CxiWS7zo9
輕鬆 電子,輕鬆電子,0D9jjfIPz6BHFBAgdfQ8yN,https://open.spotify.com/playlist/0D9jjfIPz6BHFBAgdfQ8yN
輕鬆 電子,港式MK歌 & Remix,4qFy0XSpgLqpmiE7XERnIx,https://open.spotify.com/playlist/4qFy0XSpgLqpmiE7XERnIx
輕鬆 古典,綠鋼琴／綠森林／古典鋼琴／現代鋼琴／助眠樂曲,1XNQrrbUPfdyGzSkdwDSqK,https://open.spotify.com/playlist/1XNQrrbUPfdyGzSkdwDSqK
輕鬆 古典,放輕鬆，聽古典 Classical Chill,1GvDXtnKxOyIhph7CUTFMP,https://open.spotify.com/playlist/1GvDXtnKxOyIhph7CUTFMP
輕鬆 古典,寶寶睡眠鋼琴 輕柔旋律入夢鄉 Babe Sleep Piano Lullaby with Soothing Melody,6uY9t0E69Okxx61WRbEmcA,https://open.spotify.com/playlist/6uY9t0E69Okxx61WRbEmcA
輕鬆 古典,貴族音樂古典  睡眠導入舒心大提琴: 鋼琴放鬆輕聽,70Srko2ljmB29ZmALeEsy2,https://open.spotify.com/playlist/70Srko2ljmB29ZmALeEsy2
輕鬆 藍調,國語兒歌,4R2qiFyK1slDblZx4bHN7o,https://open.spotify.com/playlist/4R2qiFyK1slDblZx4bHN7o
輕鬆 藍調,#4 Ocean Breeze/Music for better sleep,23TlETlWrojZvlAHSnYEMP,https://open.spotify.com/playlist/23TlETlWrojZvlAHSnYEMP
輕鬆 舞曲,Bossa Nova/慵懒风情,16r2jV9fIrAywM18J6gxo1,https://open.spotify.com/playlist/16r2jV9fIrAywM18J6gxo1
輕鬆 舞曲,輕鬆不插電,6lqiAAzdUs1LUBqcoJSRXB,https://open.spotify.com/playlist/6lqiAAzdUs1LUBqcoJSRXB
輕鬆 舞曲,陳老師的輕鬆舞曲,7iQsxLxlwJIi6MhQ0rp46V,https://open.spotify.com/playlist/7iQsxLxlwJIi6MhQ0rp46V
輕鬆 舞曲,港式MK歌 & Remix,4qFy0XSpgLqpmiE7XERnIx,https://open.spotify.com/playlist/4qFy0XSpgLqpmiE7XERnIx
輕鬆 靈魂,#1 Floating Slumber / Music for better sleep,3L0auc8C7T3NMxev9ue2sh,https://open.spotify.com/playlist/3L0auc8C7T3NMxev9ue2sh
輕鬆 靈魂,秋日早晨的輕鬆爵士與靈魂,5tSk1lxSgqFdVyni6fHQKZ,https://open.spotify.com/playlist/5tSk1lxSgqFdVyni6fHQKZ
